date,temp,usage
2023-06-11,20.43958333,9.408831291076
2023-06-12,20.19125,12.064605920024
2023-06-13,19.82541667,10.551822903535
2023-06-14,17.85022727,12.19907552149
2023-06-15,19.15604167,9.106274687778
2023-06-16,19.23270833,7.862430874221
2023-06-17,18.26586957,7.459022069823
2023-06-18,18.90979167,10.484588102802
2023-06-19,18.91958333,9.039039887046
2023-06-20,18.28125,10.148414099138
2023-06-21,18.96297872,8.669248483015
2023-06-22,19.61645833,8.803718084481
2023-06-23,19.335,12.131840720757
2023-06-24,21.270625,14.518676146774
2023-06-25,22.56,11.72843191636
2023-06-26,17.25479167,10.7871447061
2023-06-27,17.251875,13.173980132116
2023-06-28,19.92921569,7.761578673121
2023-06-29,17.24416667,9.84585749584
2023-06-30,15.1375,7.660726472022
2023-07-01,17.76333333,7.660726472022
2023-07-02,15.354375,11.056083909031
2023-07-03,14.58375,13.241214932849
2023-07-04,13.3275,7.593491671289
2023-07-05,14.49041667,8.635631082648
2023-07-06,15.94404255,7.425404669457
2023-07-07,19.95375,7.055613265426
2023-07-08,20.67541667,13.745475938346
2023-07-09,18.71979167,14.08164994201
2023-07-10,17.79833333,9.207126888878
2023-07-11,17.65958333,8.971805086313
2023-07-12,16.40229167,13.577388936514
2023-07-13,16.87166667,8.064135276419
2023-07-14,15.35791667,15.661667759232
2023-07-15,16.84625,11.325023111963
2023-07-16,16.12291667,12.804188728086
2023-07-17,16.26083333,11.72843191636
2023-07-18,16.195,11.72843191636
2023-07-19,17.2148,9.543300892542
2023-07-20,15.96,10.383735901703
2023-07-21,15.03520833,13.005893130284
2023-07-22,14.606875,15.459963357034
2023-07-23,18.57666667,8.232222278251
2023-07-24,14.76833333,8.669248483015
2023-07-25,14.889375,10.081179298405
2023-07-26,14.973125,10.081179298405
2023-07-27,19.19625,10.31650110097
2023-07-28,18.63,8.702865883381
2023-07-29,17.96479167,4.836864841242
2023-07-30,16.36479167,13.207597532483
2023-07-31,17.27208333,12.098223320391
2023-08-01,16.83520833,6.517734859563
2023-08-02,16.978125,8.064135276419
2023-08-03,16.754375,9.408831291076
2023-08-04,15.68708333,12.871423528819
2023-08-05,13.215625,13.308449733582
2023-08-06,14.11916667,15.594432958499
2023-08-07,15.25914894,8.198604877885
2023-08-08,13.52333333,16.300398366194
2023-08-09,16.98914894,9.711387894374
2023-08-10,20.524375,4.164516833913
2023-08-11,20.55125,3.794725429883
2023-08-12,17.34875,3.72749062915
2023-08-13,17.66458333,4.063664632814
2023-08-14,17.400625,3.895577630982
2023-08-15,17.19708333,3.996429832081
2023-08-16,18.43375,4.130899433547
2023-08-17,18.64291667,8.501161481183
2023-08-18,19.06,9.946709696939
2023-08-19,19.75291667,8.870952885213
2023-08-20,18.41583333,7.929665674953
2023-08-21,18.37854167,7.996900475686
2023-08-22,18.89875,7.929665674953
2023-08-23,18.68395833,9.072657287412
2023-08-24,19.34479167,10.518205503168
2023-08-25,15.68458333,8.400309280083
2023-08-26,14.14729167,6.517734859563
2023-08-27,14.17208333,3.794725429883
2023-08-28,14.73404255,4.063664632814
2023-08-29,15.41020833,3.761108029516
2023-08-30,14.0825,4.265369035013
2023-08-31,13.32875,3.492168826585
2023-09-01,16.87145833,4.130899433547
2023-09-02,18.28541667,3.794725429883
2023-09-03,18.27104167,3.861960230615
