date,usage
2024-07-04,6.303
2024-07-05,8.727
2024-07-06,19.728
2024-07-07,9.076
2024-07-08,10.842
2024-07-09,10.06
2024-07-10,10.25
2024-07-11,9.13
2024-07-12,11.34
2024-07-13,11.89
2024-07-14,6.63
2024-07-15,12.81
2024-07-16,9.19
2024-07-17,9.04
2024-07-18,8.65
2024-07-19,9.55
2024-07-20,11.31
2024-07-21,8.22
2024-07-22,8.94
2024-07-23,10.68
2024-07-24,10.03
2024-07-25,9.15
2024-07-26,8.13
2024-07-27,12.66
2024-07-28,10.47
2024-07-29,11.28
2024-07-30,9.3
2024-07-31,9.67
2024-08-01,4.47
2024-08-02,3.9
2024-08-03,4.01
2024-08-04,3.96
2024-08-05,4.1
2024-08-06,3.59
2024-08-07,3.8
2024-08-08,9.855
2024-08-09,7.217
2024-08-10,4.537
2024-08-11,4.696
2024-08-12,6.273
2024-08-13,10.499
2024-08-14,7.071
2024-08-15,7.532
2024-08-16,6.916
2024-08-17,4.69
2024-08-18,8.232
2024-08-19,10.877
2024-08-20,8.905
2024-08-21,8.486
2024-08-22,12.037
2024-08-23,7.355
2024-08-24,4.397
2024-08-25,3.372
2024-08-26,3.362
2024-08-27,3.409
2024-08-28,3.34
2024-08-29,3.551
2024-08-30,3.296
2024-08-31,3.311
2024-09-01,3.315
2024-09-02,6.801
2024-09-03,15.267
2024-09-04,8.747
2024-09-05,12.59
2024-09-06,5.764
2024-09-07,8.64
2024-09-08,7.433
2024-09-09,10.533
2024-09-10,14.654
2024-09-11,9.698
2024-09-12,16.116
2024-09-13,11.319
2024-09-14,10.297
2024-09-15,10.184
2024-09-16,10.335
2024-09-17,12.641
2024-09-18,12.186
2024-09-19,7.561
2024-09-20,7.851
2024-09-21,8.773
2024-09-22,5.664
2024-09-23,14.559
2024-09-24,7.24
2024-09-25,15.091
2024-09-26,9.068
2024-09-27,11.109
2024-09-28,17.677
2024-09-29,13.117
2024-09-30,12.699
2024-10-01,17.912
2024-10-02,13.163
2024-10-03,14.99
2024-10-04,12.974
2024-10-05,12.648
2024-10-06,7.437
2024-10-07,7.953
2024-10-08,13.042
2024-10-09,13.338
2024-10-10,17.568
2024-10-11,23.011
2024-10-12,17.852
2024-10-13,17.89
2024-10-14,14.693
2024-10-15,12.746
2024-10-16,11.444
2024-10-17,12.342
2024-10-18,10.795
2024-10-19,17.141
2024-10-20,9.711
2024-10-21,14.975
2024-10-22,14.116
